unit,CSP_1,CSP_2,CSP_3,CSP_4,label
,-4.008272735995168,-0.953979533893377,-0.8746559628892997,-1.716885251494898,FAULT
,-3.8396447668546956,-0.8682591042756849,-0.972347446122916,-1.7113431717265573,FAULT
,-3.406005864190403,-0.8482223717856135,-1.1577557943077847,-1.4940547595014158,FAULT
,-3.8928908096841557,-0.7998717051040415,-1.2180225476633784,-1.4506728537363756,FAULT
,-3.968777769332165,-0.9902569135997796,-0.9480312234593832,-1.5045417130541123,FAULT
,-3.6161760235708913,-1.029358778800158,-0.8046865002659085,-1.7799258857000855,FAULT
,-3.8744127588336355,-1.1777839742550171,-0.9938936220158058,-1.200178961004983,FAULT
,-3.605292712790817,-1.2136397968053598,-1.01075564127185,-1.165512724304115,FAULT
,-3.8518742742583307,-1.010847351742814,-0.8549170439641166,-1.6632018921482155,FAULT
,-3.7389305533743484,-1.1172054616542728,-0.787919650976212,-1.6386727426049554,FAULT
,-3.6671047629958853,-0.9337359267353875,-0.9238384878733099,-1.6907837502200975,FAULT
,-4.1650038043314686,-0.8715652792279753,-1.2723617410773362,-1.2517463168215661,FAULT
,-3.9429503157334236,-0.801197225111982,-1.5541950826544177,-1.138003120568287,FAULT
,-3.414455240775425,-0.7645996560909777,-1.2355493936216102,-1.5563219118482783,FAULT
,-4.240003396703013,-0.9576293617048417,-1.1846167795381555,-1.2176410450075998,FAULT
,-3.79109698835469,-0.7217121735267712,-1.8386439305542899,-1.1011855948132538,FAULT
,-3.5833442666582322,-0.8234381788269031,-1.4441438343822264,-1.2128474100207343,FAULT
,-3.510454612128908,-0.7239313147524971,-1.3633499762976529,-1.4719750028256557,FAULT
,-3.4859125994139006,-0.7619173239819137,-1.223468143153903,-1.5683173440838807,FAULT
,-3.9723419893653196,-0.9014112162886337,-1.1687185099669808,-1.330256311224064,FAULT
,-3.6809170813567578,-1.0956679957563498,-1.0835916044329623,-1.196977611187608,FAULT
,-3.390877995344215,-1.0002551802587925,-1.058423952290439,-1.3801808592255806,FAULT
,-3.629174457747847,-1.0908061640124183,-0.9879836244053253,-1.3273099582361403,FAULT
,-3.629629958521442,-1.1282201038139041,-0.9397917702904793,-1.3503247599317518,FAULT
,-3.7851442563263835,-1.12034520237229,-0.8600150880688325,-1.4785345099346494,FAULT
,-3.715017376288596,-1.0863612119582877,-0.7950114608504641,-1.6786444864223693,FAULT
,-3.1269580628917835,-0.8107947621437351,-1.1391688232521366,-1.6525573111566905,FAULT
,-3.804351553864763,-0.9109737138705462,-1.1608923119854075,-1.3379335663602263,FAULT
,-3.9221280334180384,-0.8113426702996716,-1.233171263552624,-1.4082422456776407,FAULT
,-3.720263602495653,-0.9123581828505711,-0.9511189587897447,-1.6719103848702273,FAULT
,-4.063107897158904,-0.7271123078379995,-1.2234516538771891,-1.5833364950164757,FAULT
,-3.6666050848829896,-0.8971783753872369,-1.1711868176156137,-1.359770781369324,FAULT
,-3.7293321197661147,-0.7553167073132634,-1.2029547935066145,-1.5807348489388169,FAULT
,-3.7646236622576934,-0.8066225341577784,-1.051097563125101,-1.7097739224969242,FAULT
,-3.2647796691581874,-1.231378705607063,-0.7619603632464552,-1.5937897406024724,FAULT
